CTM_Average,CTM_Bad,CTM_Good,CA_Average,CA_Bad,CA_Good,AS_No,AS_Yes,LP_Average,LP_Bad,LP_Good,FES_No,FES_Yes,R_In_Dhaka_City,R_Outside_Dhaka_City,SH,SM,ECA_No,ECA_Yes,DA_No,DA_Yes,RS_NO,RS_Yes,FS_No,FS_Yes,FcS_No,FcS_Yes,PI_No,PI_Yes,RWF_Average,RWF_Bad,RWF_Good,JTF_No,JTF_Yes,LS,FYR
1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,4,5,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,3.2,3.26
1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,2,3,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,3.19,3.19
0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,2,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,3.03,3.05
1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,4.5,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,0,3,3.12
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,5,2,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,2.82,3.24
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,4,2,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,3.2,2.34
0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,2,2,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,3.17,3.2
1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,2,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,3,2.54
0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,1,5,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1.38,1.59
0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,2,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1.38,1.34
1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,3.5,5.5,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,3.54,3.31
1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,3.5,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,2.96,2.38
0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0.5,2.5,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1.38,1.43
1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,5,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1.96,1.9
1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,2,1,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1.79,1.7
0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,2,5,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,2.64,2.34
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,4,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,3.4,3.18
0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,2,4,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,3.57,3.3
