CTM,CA,AS,LP,FES,Resi,ECA,DA,RS,FS,FcS,PI,RWF,JTF,SH,SM,LS,FYR
Good,Bad,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Good,Yes,2,2,2.13,2.37
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Good,No,2,3,1.67,2.14
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Good,Yes,1,3,2.06,2.04
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,No,Yes,Yes,No,Good,Yes,2,3,3.21,3.11
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,Yes,No,Good,No,0,5,3.36,3.41
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,Yes,Yes,Yes,Yes,No,Good,Yes,5,10,0.94,1.1
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,Yes,Yes,Yes,No,Good,No,2,3,1.79,1.58
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,Yes,No,Good,Yes,1,4,2.5,2.33
Good,Good,Yes,Good,Yes,Outside Dhaka City,No,No,No,Yes,Yes,No,Average,No,1,3,1.69,2.34
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,No,Yes,Yes,No,Bad,No,1,2,1.92,1.77
Average,Good,Yes,Average,Yes,In Dhaka City,No,Yes,No,Yes,Yes,No,Good,No,1,7,2.94,2.34
Average,Good,Yes,Average,Yes,In Dhaka City,No,Yes,No,Yes,Yes,No,Good,Yes,2,5,1.19,1.69
Bad,Average,Yes,Average,Yes,In Dhaka City,No,Yes,Yes,Yes,No,No,Average,Yes,1,12,1.69,2.06
Good,Average,Yes,Good,Yes,In Dhaka City,Yes,No,Yes,Yes,Yes,No,Good,Yes,2,4,1.33,2.34
Average,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,Yes,No,Good,Yes,4,5,3.2,3.26
Average,Good,Yes,Good,Yes,In Dhaka City,No,No,No,Yes,Yes,No,Good,Yes,2,3,3.19,3.19
Bad,Average,Yes,Average,Yes,In Dhaka City,Yes,Yes,No,Yes,Yes,No,Average,Yes,1,2,3.03,3.05
Average,Good,Yes,Good,No,In Dhaka City,Yes,No,No,Yes,Yes,No,Good,No,1,4.5,3,3.12
Average,Average,Yes,Average,Yes,In Dhaka City,No,No,No,Yes,No,No,Average,Yes,5,2,2.82,3.24
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,Yes,No,Good,Yes,4,2,3.2,2.34
Good,Good,No,Good,Yes,In Dhaka City,Yes,No,No,Yes,Yes,No,Good,Yes,2,2,3.17,3.2
Average,Good,Yes,Good,Yes,Outside Dhaka City,No,No,Yes,Yes,Yes,No,Good,No,1,2,3,2.54
Bad,Average,Yes,Average,Yes,In Dhaka City,Yes,No,Yes,Yes,Yes,No,Good,Yes,1,5,1.38,1.59
Bad,Average,No,Bad,Yes,In Dhaka City,No,No,No,Yes,Yes,No,Bad,No,1,2,1.38,1.34
Average,Good,Yes,Average,Yes,In Dhaka City,No,No,No,Yes,Yes,No,Good,No,3.5,5.5,3.54,3.31
Average,Good,No,Good,Yes,Outside Dhaka City,Yes,No,Yes,Yes,Yes,No,Good,Yes,1,3.5,2.96,2.38
Bad,Bad,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,No,No,Average,Yes,0.5,2.5,1.38,1.43
Average,Average,No,Average,Yes,Outside Dhaka City,No,No,Yes,Yes,No,No,Average,No,1,5,1.96,1.9
Average,Average,Yes,Average,Yes,In Dhaka City,No,No,No,Yes,No,No,Good,No,2,1,1.79,1.7
Bad,Average,Yes,Average,Yes,In Dhaka City,Yes,No,No,Yes,Yes,No,Good,Yes,2,5,2.64,2.34
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,No,No,Good,Yes,2,4,3.4,3.18
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,Yes,Yes,No,No,Good,No,2,4,3.57,3.3
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,Yes,Yes,Yes,No,Good,Yes,2,4,3.38,2.97
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,Yes,No,Yes,No,Good,Yes,2,4,3.46,1.57
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,No,No,Good,No,2,4,3,2.19
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,No,No,Good,No,1,5,3,2.66
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,Yes,No,Good,No,2,4,3,2.34
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,No,No,Good,Yes,2,2,3.33,3.26
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,No,No,Good,Yes,2,2,2.57,2.23
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,Yes,No,Yes,No,Good,No,3,3,3,2.34
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,No,No,No,No,Good,Yes,2,1,2.76,2.52
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,Yes,Yes,No,Yes,Good,No,4,0,3,2.13
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,No,No,Good,No,4,1,3,2.34
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,No,Yes,No,No,Good,Yes,5,0.5,2.75,2.77
Good,Good,Yes,Good,Yes,In Dhaka City,Yes,No,Yes,Yes,No,Yes,Good,No,6,0.3,2,2.48
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Good,Yes,1,3,3.33,2.34
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Good,No,2,4,3.37,3.13
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,Yes,Yes,Yes,No,Good,No,2,4,3.02,3.16
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,No,Yes,Yes,No,Good,yes,2,6,3.57,2.25
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,yes,Yes,Yes,No,Good,no,3,4,3.31,3.41
Good,Good,Yes,Good,Yes,In Dhaka City,No,No,No,Yes,Yes,No,Good,no,3,3,2.75,2.34
Average,Average,Yes,Average,Yes,In Dhaka City,Yes,No,No,Yes,Yes,No,Good,no,4,3,3,3.04
